source_term,sense_id,agreement,finalization_status,blocker_codes,semantic_directive,record_sha256
activation function,d2lce_e0c693366d811581abbb9e74,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,254d661a0da5e882c80646eaace67f77c2fa8ff940736aa26d5a18d69dee174f
Adam,d2lce_7ef8ed3f93210606a27312a4,MAJORITY_2_OF_3,ADJUDICATION_REQUIRED,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;NON_UNANIMOUS_CORE_DECISION;REVIEWER_PROVENANCE_INCOMPLETE;UNSUPPORTED_DEFINITION_DETAIL_REMOVED,ACCEPT_CORRECTION,131beeff8220703a860309f10a71aadc5335b43d158ef59ee79db4b460e71f4d
affine transformation,d2lce_539543a2360129e2a2fa1b6d,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,78efd4c8eb8c1a0798719da2a958a2078fa1aad30b9ad6c7aea83ac2f38d70e2
Approximate Training,d2lce_28ab2b419f6b871a62a06060,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,2f5ef86a3253d36396973134c71e2f3d7928a4dce4b04a5589e456058e97b58d
attention scoring function,d2lce_18c3da2d5bdd6d05a83982fa,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,2dfee02ca74ea5fbf134e80c6405b28a829a69c34cf3ae8a6279800975972c49
BatchNorm,d2lce_4abd762bcd34d370b4fe6498,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,11fa5ae3dbbc40ef2e101884768b5e18d26964758140d9b1397a3f67cf3be6e9
beta,d2lce_20a7e6887718c68fb6b88a05,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,215d0fb739c1279b30b3d543d37bd3d4b12cd8b681388d3267134496ef3fb875
bidirectional RNN,d2lce_80f4d6555a6ea1d2e5e881a1,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,77320904666cde4be51447b34384e288b1eac8e5245860105c2d16c8a7ea1666
bit,d2lce_53c32398310471fac3dacf35,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,8d0c1f564ca126716407d9d153e0d86460047dda00006e96ffbe67e598144f27
broadcasting,d2lce_499fa9391d57e930a19f1b19,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,54e6825f79a91db7b7315dce6c5d059cd35d3e75537da75bae1bfca908c38034
Caser,d2lce_52085fef12f840d2350b2049,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,b805130d60e28dad84a5714c23a2fd12d1b44a1e327da18b97454417e6259e5e
channels,d2lce_270e1a75bb70807d9c2dd507,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,d371344c6f4fb0df1bb7c6d91c63c5517a9154b7f2a3f80f56bd9f05f0148160
Collaborative Filtering,d2lce_fb9ad6a6ac7e4ba9167913e1,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,b9ee359f4876bbd4e2a9cd6f40146ffd7f1e3cad4031bc097975a718e5377228
Concept Shift,d2lce_6239b2ef1cec1800e3d6f13f,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,17790f28bbcb03d7537b08486369322d98ad7bf50e806f71fbe13764bea755e3
constructor,d2lce_7d7b617aacd41c76538d06af,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,fc834bf4cb74cf9037b9f24aa8b7ddb091a40c8feb41138e59592341bfbff770
contexts,d2lce_382e4bbab285d56a08249753,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,3fa890a9f6d8ee6c5f5c08436d654ac005a8d795af109bed1fcda1797260c1e8
continuous bag of words,d2lce_dc193feb1eeef3a1349d9b74,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,d6b1e3d898c7557ea12ef40b5b4de811f5529b791b98c98827a991b2f6c3c3fd
Control Flow,d2lce_6c7e95cd232fb7fcca6b3bdc,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,7e586b9ec6347c777ec7df1836f7eca6bb8f09b7525aa1b050cadb28bc04cbcd
convex function,d2lce_0a19e86b29b5e64f79a45ddc,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,603000bb56eb6473d234723b32b1c5531f3521a8528617413c19788054927de5
convex sets,d2lce_9c874642b8c028465cfbb71e,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,67dd1fa6026ecd03d40960feb0c01b5041c03d8b1b161467afd41da2786c518b
convolutional layer,d2lce_d2bfc7b3a0a02ddfd71b3526,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,ed068ecad52f185a11fd814cab3984cdeaa8c0df08aca5aade69059463e558d4
convolutional neural networks,d2lce_c4e87e5ee47d3e26ba618290,AGREEMENT_3_OF_3,BLOCKED_PENDING_REPAIR_INPUTS,EVIDENCE_ROLE_CONFIRMATION_REQUIRED;REVIEWER_PROVENANCE_INCOMPLETE,,5483914e480d482cc390d1f79763d54aabb508c520c8a6d6369fce9869bd1e31
