context_id,output_sense_id,parent_sense_id,source_term,split_label,chapter_id,chapter_title,chapter_order_index,block_id,block_order_index,block_type,source_text,clean_text,source_text_sha256,clean_text_sha256,source_artifact_ref,source_artifact_sha256,source_json_path,evidence_record_sha256
repair_ctx_84487db477b4c653d15e2af1,d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,NO_SPLIT,d2l_appendix_mathematics_for_deep_learning,Appendix: Mathematics for Deep Learning,20,d2l_appendix_mathematics_for_deep_learning_statistics_b064,8315,paragraph,"The *statistical power* (or *sensitivity*) measures the probability of reject the null hypothesis, $H_0$, when it should be rejected, i.e.,","The *statistical power* (or *sensitivity*) measures the probability of reject the null hypothesis, $H_0$, when it should be rejected, i.e.,",b3323cb1f5e074464fa62b061626fe4e76ca32f4c44565a287dffc553b770fc9,b3323cb1f5e074464fa62b061626fe4e76ca32f4c44565a287dffc553b770fc9,source://d2l_document_snapshot/document.json,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,$.chapters[20].blocks[1163],0ff965d3d3195ff5f8e7db3f17c52c427c24800d32d75d4f854e5afc48552f6b
repair_ctx_5f59b664278aea5b3dcd57c4,d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,NO_SPLIT,d2l_appendix_mathematics_for_deep_learning,Appendix: Mathematics for Deep Learning,20,d2l_appendix_mathematics_for_deep_learning_statistics_b065,8316,paragraph,$$ \text{statistical power }= 1 - \beta = 1 - P(\text{ fail to reject } H_0  \mid H_0 \text{ is false} ).$$,$$ \text{statistical power }= 1 - \beta = 1 - P(\text{ fail to reject } H_0  \mid H_0 \text{ is false} ).$$,da0f96c3f7f84c75172c9dd984ea5eef6c794561cfd04f78eb9d7cb0b1280f5d,da0f96c3f7f84c75172c9dd984ea5eef6c794561cfd04f78eb9d7cb0b1280f5d,source://d2l_document_snapshot/document.json,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,$.chapters[20].blocks[1164],f1f8549fda66e813acc5192c03d3045d1acb0db3279255a6e082782ecd5fbecc
repair_ctx_79a8fcd171d3f777b220fc9b,d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,NO_SPLIT,d2l_appendix_mathematics_for_deep_learning,Appendix: Mathematics for Deep Learning,20,d2l_appendix_mathematics_for_deep_learning_statistics_b066,8317,paragraph,"Recall that a *type I error* is error caused by rejecting the null hypothesis when it is true, whereas a *type II error* is resulted from failing to reject the null hypothesis when it is false. A type II error is usually denoted as $\beta$, and hence the corresponding statistical power is $1-\beta$.","Recall that a *type I error* is error caused by rejecting the null hypothesis when it is true, whereas a *type II error* is resulted from failing to reject the null hypothesis when it is false. A type II error is usually denoted as $\beta$, and hence the corresponding statistical power is $1-\beta$.",0964100b33a899b490d6cdd417288d5a0bebcc4cf8909ea816e4461e94a9cfd7,0964100b33a899b490d6cdd417288d5a0bebcc4cf8909ea816e4461e94a9cfd7,source://d2l_document_snapshot/document.json,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,$.chapters[20].blocks[1165],19e91fd273eec6f64e1b62121988363f7e85fefa352315a1c3de56163934835a
repair_ctx_77a41da999ed0fefe0aecda4,d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,NO_SPLIT,d2l_appendix_mathematics_for_deep_learning,Appendix: Mathematics for Deep Learning,20,d2l_appendix_mathematics_for_deep_learning_statistics_b067,8318,paragraph,"Intuitively, statistical power can be interpreted as how likely our test will detect a real discrepancy of some minimum magnitude at a desired statistical significance level. $80\%$ is a commonly used statistical power threshold. The higher the statistical power, the more likely we are to detect true differences.","Intuitively, statistical power can be interpreted as how likely our test will detect a real discrepancy of some minimum magnitude at a desired statistical significance level. $80\%$ is a commonly used statistical power threshold. The higher the statistical power, the more likely we are to detect true differences.",2630b5a0aff5472f031fa11c60f793de90eab9ec8d505f055eba3e326d4a0ae2,2630b5a0aff5472f031fa11c60f793de90eab9ec8d505f055eba3e326d4a0ae2,source://d2l_document_snapshot/document.json,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,$.chapters[20].blocks[1166],1b96f7dbe0f175ee0bfacc2d0728af6a71ca49e33098834bc397d7929ebbf48a
repair_ctx_3204cb88d04eb7906be1c8cb,d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,NO_SPLIT,d2l_appendix_mathematics_for_deep_learning,Appendix: Mathematics for Deep Learning,20,d2l_appendix_mathematics_for_deep_learning_statistics_b068,8319,paragraph,"One of the most common uses of statistical power is in determining the number of samples needed.  The probability you reject the null hypothesis when it is false depends on the degree to which it is false (known as the *effect size*) and the number of samples you have.  As you might expect, small effect sizes will require a very large number of samples to be detectable with high probability.  While beyond the scope of this brief appendix to derive in detail, as an example, want to be able to reject a null hypothesis that our sample came from a mean zero variance one Gaussian, and we believe that our sample's mean is actually close to one, we can do so with acceptable error rates with a sample size of only $8$.  However, if we think our sample population true mean is close to $0.01$, then we'd need a sample size of nearly $80000$ to detect the difference.","One of the most common uses of statistical power is in determining the number of samples needed.  The probability you reject the null hypothesis when it is false depends on the degree to which it is false (known as the *effect size*) and the number of samples you have.  As you might expect, small effect sizes will require a very large number of samples to be detectable with high probability.  While beyond the scope of this brief appendix to derive in detail, as an example, want to be able to reject a null hypothesis that our sample came from a mean zero variance one Gaussian, and we believe that our sample's mean is actually close to one, we can do so with acceptable error rates with a sample size of only $8$.  However, if we think our sample population true mean is close to $0.01$, then we'd need a sample size of nearly $80000$ to detect the difference.",db524b1478395edeeb6d4533c660279216efcd529c589e78f8b7532ae4effc50,db524b1478395edeeb6d4533c660279216efcd529c589e78f8b7532ae4effc50,source://d2l_document_snapshot/document.json,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,$.chapters[20].blocks[1167],7640efa44d723665df81ec77cc074d2d9cbe4e23d74e3c3a7cb0474782a9a162
repair_ctx_38d68cb897cda94289c2f10c,d2lce_51ce8cc13680668af18c9d10,d2lce_2684090fd4500122fec2a334,in place,ESTABLISHED_CONFIGURATION,d2l_introduction,Introduction,3,d2l_introduction_index_b079,187,paragraph,"Despite their tremendous economic value,
recommendation systems
naively built on top of predictive models
suffer some serious conceptual flaws.
To start, we only observe *censored feedback*:
users preferentially rate movies that they feel strongly about.
For example, 
on a five-point scale,
you might notice that items receive many five and one star ratings
but that there are conspicuously few three-star ratings.
Moreover, current purchase habits are often a result
of the recommendation algorithm currently in place,
but learning algorithms do not always take this detail into account.
Thus it is possible for feedback loops to form
where a recommender system preferentially pushes an item
that is then taken to be better (due to greater purchases)
and in turn is recommended even more frequently.
Many of these problems about how to deal with censoring,
incentives, and feedback loops, are important open research questions.","Despite their tremendous economic value,
recommendation systems
naively built on top of predictive models
suffer some serious conceptual flaws.
To start, we only observe *censored feedback*:
users preferentially rate movies that they feel strongly about.
For example, 
on a five-point scale,
you might notice that items receive many five and one star ratings
but that there are conspicuously few three-star ratings.
Moreover, current purchase habits are often a result
of the recommendation algorithm currently in place,
but learning algorithms do not always take this detail into account.
Thus it is possible for feedback loops to form
where a recommender system preferentially pushes an item
that is then taken to be better (due to greater purchases)
and in turn is recommended even more frequently.
Many of these problems about how to deal with censoring,
incentives, and feedback loops, are important open research questions.",085c3aae3ec7e68010534dfa971a574550a5cca602b18a60436754adb09fb786,085c3aae3ec7e68010534dfa971a574550a5cca602b18a60436754adb09fb786,source://d2l_document_snapshot/document.json,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,$.chapters[3].blocks[78],8b3c62d50e4ed284cfdc3cdfe3d48bc697ea530a58ae09cb3b4474be033d4c68
repair_ctx_39517584a7e442bf30652b8b,d2lce_51ce8cc13680668af18c9d10,d2lce_2684090fd4500122fec2a334,in place,ESTABLISHED_CONFIGURATION,d2l_linear_networks,Linear Neural Networks,5,d2l_linear_networks_linear_regression_concise_b057,1070,paragraph,"You might have noticed that expressing our model through
high-level APIs of a deep learning framework
requires comparatively few lines of code.
We did not have to individually allocate parameters,
define our loss function, or implement minibatch stochastic gradient descent.
Once we start working with much more complex models,
advantages of high-level APIs will grow considerably.
However, once we have all the basic pieces in place,
[**the training loop itself is strikingly similar
to what we did when implementing everything from scratch.**]","You might have noticed that expressing our model through
high-level APIs of a deep learning framework
requires comparatively few lines of code.
We did not have to individually allocate parameters,
define our loss function, or implement minibatch stochastic gradient descent.
Once we start working with much more complex models,
advantages of high-level APIs will grow considerably.
However, once we have all the basic pieces in place,
[**the training loop itself is strikingly similar
to what we did when implementing everything from scratch.**]",041d68bc75bdc9ece34008566627c162c3e8a2ebcdf81735980ead31226c91a3,041d68bc75bdc9ece34008566627c162c3e8a2ebcdf81735980ead31226c91a3,source://d2l_document_snapshot/document.json,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,$.chapters[5].blocks[228],c397b270683d19bc8a2772a0db9bb82495854dba6636df058d7c8a7d38ade6da
repair_ctx_17a0221b26ef66c958d7786f,d2lce_51ce8cc13680668af18c9d10,d2lce_2684090fd4500122fec2a334,in place,ESTABLISHED_CONFIGURATION,d2l_linear_networks,Linear Neural Networks,5,d2l_linear_networks_linear_regression_scratch_b047,995,paragraph,"Now that we have all of the parts in place,
we are ready to [**implement the main training loop.**]
It is crucial that you understand this code
because you will see nearly identical training loops
over and over again throughout your career in deep learning.","Now that we have all of the parts in place,
we are ready to [**implement the main training loop.**]
It is crucial that you understand this code
because you will see nearly identical training loops
over and over again throughout your career in deep learning.",121df3d873e6cf953fd18436d758cde9588763fad863c9fe7b2ff32212dc95f7,121df3d873e6cf953fd18436d758cde9588763fad863c9fe7b2ff32212dc95f7,source://d2l_document_snapshot/document.json,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,$.chapters[5].blocks[153],e33b94a472d0b4528fd9ad07f5c528f17205c5d039cb94271073b3ba4a7cb7c3
repair_ctx_191a3641d9b2931cf178e00d,d2lce_51ce8cc13680668af18c9d10,d2lce_2684090fd4500122fec2a334,in place,ESTABLISHED_CONFIGURATION,d2l_multilayer_perceptrons,Multilayer Perceptrons,6,d2l_multilayer_perceptrons_mlp_b020,1345,paragraph,"In order to realize the potential of multilayer architectures,
we need one more key ingredient: a
nonlinear *activation function* $\sigma$
to be applied to each hidden unit
following the affine transformation.
The outputs of activation functions
(e.g., $\sigma(\cdot)$)
are called *activations*.
In general, with activation functions in place,
it is no longer possible to collapse our MLP into a linear model:","In order to realize the potential of multilayer architectures,
we need one more key ingredient: a
nonlinear *activation function* $\sigma$
to be applied to each hidden unit
following the affine transformation.
The outputs of activation functions
(e.g., $\sigma(\cdot)$)
are called *activations*.
In general, with activation functions in place,
it is no longer possible to collapse our MLP into a linear model:",1f81e9d70dd3be6b984f3b172aed7ffb1989103d7cb90a5c4729c3d25998dc5c,1f81e9d70dd3be6b984f3b172aed7ffb1989103d7cb90a5c4729c3d25998dc5c,source://d2l_document_snapshot/document.json,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,$.chapters[6].blocks[22],c7fb0c774d0c3524430bd0f43c80107e04e07bcad6a47fdec1fc679f84221623
repair_ctx_63b9c8b7e987834612e96940,d2lce_51ce8cc13680668af18c9d10,d2lce_2684090fd4500122fec2a334,in place,ESTABLISHED_CONFIGURATION,d2l_optimization,Optimization Algorithms,13,d2l_optimization_adam_b013,4688,paragraph,Now we have all the pieces in place to compute updates. This is slightly anticlimactic and we have a simple update of the form,Now we have all the pieces in place to compute updates. This is slightly anticlimactic and we have a simple update of the form,b68a5d190ea262d087f0658e2d2597c2ff6ea0954dcedcc3e7f043391980755a,b68a5d190ea262d087f0658e2d2597c2ff6ea0954dcedcc3e7f043391980755a,source://d2l_document_snapshot/document.json,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,$.chapters[13].blocks[517],1beb3aff510bf76008faf3c952dcdd8569b14a0f6558356a2789612e45c7faad
