term_id,sense_id,source_term,split,selection_group,risk_class,review_requirement,review_status,blind_audit_required,reviewer_1_id,reviewer_1_type,reviewer_1_role,reviewer_1_status,reviewer_1_definition_decision,reviewer_1_pos_decision,reviewer_1_scope_decision,reviewer_1_reason_codes,reviewer_1_confidence,reviewer_1_artifact_sha256,reviewer_2_id,reviewer_2_type,reviewer_2_role,reviewer_2_status,reviewer_2_definition_decision,reviewer_2_pos_decision,reviewer_2_scope_decision,reviewer_2_reason_codes,reviewer_2_confidence,reviewer_2_artifact_sha256,adjudicator_id,adjudicator_type,adjudicator_status,adjudication_decision,adjudication_reason,adjudication_artifact_sha256,completed_at,reviewer_1_completed_at,reviewer_2_completed_at,adjudicator_completed_at,final_definition_decision,final_pos_decision,final_scope_decision,final_decision,resolution_basis,resolution_status,review_record_sha256
d2lce_11e1c294000ac67785408dcd,d2lce_11e1c294000ac67785408dcd,null hypothesis,development,CLEAR_LOW_RISK,R0_CLEAR,SOURCE_GROUND_PLUS_BLIND_AUDIT,COMPLETE,true,diemphuong,HUMAN,SOURCE_GROUND_AND_BLIND_AUDIT,COMPLETE,ACCEPT,ACCEPT,ACCEPT,DEFINITION_SUPPORTED;POS_SUPPORTED;SCOPE_COHERENT,0.99,0308d940ad3a2650aff0b40eac3216df56c476dc6073598c56a0be49d2a1ea21,,,,,,,,,,,,,,,,,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,,,ACCEPT,ACCEPT,ACCEPT,ACCEPT,SOURCE_GROUND_PLUS_BLIND_AUDIT,READY_FOR_CONTRACT_CONSTRUCTION,1b0016c537e017bea6e18a68d8e1975c18a8783023b223daaa707cc4cd40cc65
d2lce_18c3da2d5bdd6d05a83982fa,d2lce_18c3da2d5bdd6d05a83982fa,attention scoring function,development,GATE_ADJUDICATION_RISK,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,COMPLETE,false,diemphuong,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,ACCEPT,ACCEPT,ACCEPT,DEFINITION_SUPPORTED;POS_SUPPORTED;SCOPE_COHERENT,0.99,0308d940ad3a2650aff0b40eac3216df56c476dc6073598c56a0be49d2a1ea21,reviewer_2,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,ACCEPT,ACCEPT,ACCEPT,SAME_SENSE_PRIMARY_SUPPORT|CONTRASTIVE_BOUNDARY_ONLY,0.98,a147ca32ab7ceb7060b85364c56d7a586cb45c269e6ee3298bd7f0d89f5357bd,,,,,,,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,,ACCEPT,ACCEPT,ACCEPT,ACCEPT,TWO_REVIEWER_CONSENSUS,READY_FOR_CONTRACT_CONSTRUCTION,91ef9c3c9c9d7ae1045007b055c2d41ee285ccc64007107d5e3ca2cba5c3af5e
d2lce_1a91fdded89249a5cd89ec14,d2lce_1a91fdded89249a5cd89ec14,Jupyter notebook,development,AMBIGUOUS_POLYSEMOUS,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,COMPLETE,false,diemphuong,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,ACCEPT,ACCEPT,ACCEPT,DEFINITION_SUPPORTED;POS_SUPPORTED;SCOPE_COHERENT,0.98,0308d940ad3a2650aff0b40eac3216df56c476dc6073598c56a0be49d2a1ea21,reviewer_2,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,ACCEPT,ACCEPT,ACCEPT,SAME_SENSE_PRIMARY_SUPPORT|CONTRASTIVE_BOUNDARY_ONLY,0.99,29da3393de56503a3b4d37cc11d83e17e898362646b565987cfede728a23ca2f,,,,,,,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,,ACCEPT,ACCEPT,ACCEPT,ACCEPT,TWO_REVIEWER_CONSENSUS,READY_FOR_CONTRACT_CONSTRUCTION,7ffdd06dd3fd616d0382d25c513e923d3568ef67de4eb9c85b58ac21bb70a657
d2lce_2684090fd4500122fec2a334,d2lce_2684090fd4500122fec2a334,in place,development,GATE_ADJUDICATION_RISK,R4_SPLIT_OR_POS_RISK,TWO_DISTINCT_REVIEWERS_PLUS_MANDATORY_ADJUDICATION,COMPLETE,false,diemphuong,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,REVISE,REVISE,SPLIT_REQUIRED,MULTIPLE_SENSES;POS_VARIATION;MANDATORY_ADJUDICATION,0.99,0308d940ad3a2650aff0b40eac3216df56c476dc6073598c56a0be49d2a1ea21,reviewer_2,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,REVISE,REVISE,SPLIT_REQUIRED,MULTIPLE_SENSES|SPLIT_REQUIRED|POS_AMBIGUITY,0.99,231091a345da8fd9d93114cfb7094c688f14daa9b82a632a0ffedd6178717c87,snail,HUMAN,COMPLETE,SPLIT_REQUIRED,Evidence confirms multiple senses merged into one entry: ctx_dd4385b29dac92b049208df2 / ctx_f813489a437efb8e7e42d969 / ctx_51b702393d86c10055ec9803 attest the in-place-computation sense (adverbial 'update in place'); ctx_3d152d0258e0fc757b4f6fc6 shows adjectival 'in-place operations' so POS 'adverb' does not cover attested usage; ctx_b28630d61d9d7f640c9a5483 ('recommendation algorithm currently in place') is the distinct established/deployed sense folded into the definition via 'by extension'. Split into computational sense (candidate A 'tai cho' or C) and deployed sense; revise definition and POS per split.,93e357475cec456247ada86c33fe07de4751ec40a919da4ea4988b52848adff7,2026-07-29T06:30:36Z,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,2026-07-29T06:30:36Z,REVISE,REVISE,SPLIT_REQUIRED,SPLIT_REQUIRED,ADJUDICATION,SPLIT_REQUIRED,f5261ff0a112001c3f4444fb200312034dea588e1446c1547c40b99302b1d8b0
d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,development,GATE_ADJUDICATION_RISK,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,COMPLETE,false,diemphuong,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,,,,E_UNJUDGEABLE;INSUFFICIENT_POSITIVE_EVIDENCE;POSITIVE_CONTEXT_WRONG_SENSE;ADJUDICATION_IF_NEEDED,0.99,0308d940ad3a2650aff0b40eac3216df56c476dc6073598c56a0be49d2a1ea21,reviewer_2,HUMAN,INDEPENDENT_SENSE_REVIEW,UNJUDGEABLE,,,,INSUFFICIENT_POSITIVE_EVIDENCE|E_UNJUDGEABLE_SCENARIO,,f8e92c0881ab8991a9adb5ba7f6aeefa4d26d08eb76670d5321fade469bc8d2e,snail,HUMAN,COMPLETE,UNRESOLVED,"Sole positive context ctx_e35e3b1e2bfeb5965b0bd614 uses 'limited expressive power' (model expressiveness), a different sense from the proposed definition 'probability that a statistical test detects a real effect' - wrong-sense positive context, matched surface only 'power'. Boundary context ctx_46209c337eb72da7b6db819f (power consumption) cannot serve as positive evidence. No valid SAME_SENSE positive evidence remains; concur with both reviewers on E-unjudgeable. Candidates (luc kiem dinh / do manh thong ke) cannot be validated without evidence.",93e357475cec456247ada86c33fe07de4751ec40a919da4ea4988b52848adff7,2026-07-29T06:30:36Z,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,2026-07-29T06:30:36Z,UNJUDGEABLE,UNJUDGEABLE,UNJUDGEABLE,UNRESOLVED,ADJUDICATION,UNRESOLVED,19b9c3463e51facac52ff766311606ad10f1a7fccd91b2a2dbfcdab77b902f5f
d2lce_382e4bbab285d56a08249753,d2lce_382e4bbab285d56a08249753,contexts,development,GATE_ADJUDICATION_RISK,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,COMPLETE,false,diemphuong,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,ACCEPT,ACCEPT,ACCEPT,DEFINITION_SUPPORTED;POS_SUPPORTED;SCOPE_COHERENT,0.96,0308d940ad3a2650aff0b40eac3216df56c476dc6073598c56a0be49d2a1ea21,reviewer_2,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,ACCEPT,ACCEPT,ACCEPT,TARGET_COLLISION|SAME_SENSE_PRIMARY_SUPPORT|BROAD_DEFINITION_COVERS_CONTEXTS,0.9,b7effb95eb833b2778b7c902361903f68dd7f4b2477e9a8908cb8e7ca60ce7b4,,,,,,,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,,ACCEPT,ACCEPT,ACCEPT,ACCEPT,TWO_REVIEWER_CONSENSUS,READY_FOR_CONTRACT_CONSTRUCTION,3d522651b969f483353111cbc62b85e186e3d4582ce596dd3b8ad31b28bd8def
d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,Adam,development,AMBIGUOUS_POLYSEMOUS,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,COMPLETE,false,diemphuong,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,REVISE,ACCEPT,ACCEPT,DEFINITION_UNSUPPORTED_DETAIL;POS_SUPPORTED;SCOPE_COHERENT,0.96,0308d940ad3a2650aff0b40eac3216df56c476dc6073598c56a0be49d2a1ea21,reviewer_2,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,ACCEPT,ACCEPT,ACCEPT,SAME_SENSE_PRIMARY_SUPPORT|CONTRASTIVE_BOUNDARY_ONLY,0.98,5d110a4364728b4509610e032e0ff0a468846f64f339e26bd08e51df2220b929,snail,HUMAN,COMPLETE,REVISE,Detail 'adaptive gradient-based' not attested in any SAME_SENSE PRIMARY context: ctx_feb069ef1ecb8e58ef71c482 ('Adam optimizer') and ctx_4a985a7867b0862e601aa744 ('uses Adam as the optimization algorithm') plus ctx_5c812a90177b5b129b327432 only establish Adam as an optimization algorithm used to train models; boundary ctxx_01a3b60f74c769d4a3b645f0 excluded per evidence rule. POS proper_noun and scope supported. Uphold Reviewer 1: trim or evidence the unsupported detail; candidates B/C (thuat toan toi uu Adam / bo toi uu Adam) match the attested sense.,93e357475cec456247ada86c33fe07de4751ec40a919da4ea4988b52848adff7,2026-07-29T06:30:36Z,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,2026-07-29T06:30:36Z,REVISE,ACCEPT,ACCEPT,REVISE,ADJUDICATION,REVISION_REQUIRED,266dfc837d577126288d93d8f6d03f409430c79666f0c5ac29a73cef7da4dfbe
d2lce_8d226b48ba7ec1493faa4ec8,d2lce_8d226b48ba7ec1493faa4ec8,Gradient Clipping,development,CLEAR_LOW_RISK,R0_CLEAR,SOURCE_GROUND_PLUS_BLIND_AUDIT,COMPLETE,true,diemphuong,HUMAN,SOURCE_GROUND_AND_BLIND_AUDIT,COMPLETE,ACCEPT,ACCEPT,ACCEPT,DEFINITION_SUPPORTED;POS_SUPPORTED;SCOPE_COHERENT,0.98,0308d940ad3a2650aff0b40eac3216df56c476dc6073598c56a0be49d2a1ea21,,,,,,,,,,,,,,,,,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,,,ACCEPT,ACCEPT,ACCEPT,ACCEPT,SOURCE_GROUND_PLUS_BLIND_AUDIT,READY_FOR_CONTRACT_CONSTRUCTION,01e5a6a17b5889d4b94da3b389f9ca48c57d94ef3f641283b04e969391052bec
d2lce_98b37a7bcb47cd2ef2e5f296,d2lce_98b37a7bcb47cd2ef2e5f296,fully-connected layers,development,GATE_ADJUDICATION_RISK,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,COMPLETE,false,diemphuong,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,,ACCEPT,ACCEPT,E_UNJUDGEABLE;INSUFFICIENT_POSITIVE_DEFINITION_EVIDENCE;BOUNDARY_ONLY_SUPPORTS_CORE_PROPERTY,0.98,0308d940ad3a2650aff0b40eac3216df56c476dc6073598c56a0be49d2a1ea21,reviewer_2,HUMAN,INDEPENDENT_SENSE_REVIEW,COMPLETE,ACCEPT,ACCEPT,ACCEPT,SAME_SENSE_PRIMARY_SUPPORT|INDIRECT_DEFINITION_SUPPORT|CONTRASTIVE_BOUNDARY_ONLY,0.88,d40acbf0f4061c35b3743264c245f33b87cc961fddca2f2101ba87869e99e3cc,snail,HUMAN,COMPLETE,UNRESOLVED,No SAME_SENSE PRIMARY/BACKUP context states the defining property 'each output unit connected to all input units': ctx_403adb70f5312a0fa35b95be (stacking usage) / ctx_faa4efe019d52f783381c40a (section heading) / ctx_1f4f955fd892e6791b4aeef3 (parameter cost) are usage-only; the core property appears only in boundary context ctxx_e58b72f11fa52345b99c8a32 which cannot serve as positive evidence. Reviewer 2's INDIRECT_DEFINITION_SUPPORT rests on boundary-only support. Definition UNJUDGEABLE; POS noun_phrase and scope remain supported by usage contexts.,93e357475cec456247ada86c33fe07de4751ec40a919da4ea4988b52848adff7,2026-07-29T06:30:36Z,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,2026-07-29T06:30:36Z,UNJUDGEABLE,ACCEPT,ACCEPT,UNRESOLVED,ADJUDICATION,UNRESOLVED,91cf7050c8651e5ad85d4650d19b352c8adb5bc37e3ea6fa10af68ac4a5c40fa
d2lce_9bd5113780f8e8160a24e6ad,d2lce_9bd5113780f8e8160a24e6ad,underflow,development,CLEAR_LOW_RISK,R1_QUALIFIED,AT_LEAST_ONE_HUMAN_REVIEWER,COMPLETE,false,diemphuong,HUMAN,SENSE_REVIEW,COMPLETE,ACCEPT,ACCEPT,ACCEPT,DEFINITION_SUPPORTED;POS_SUPPORTED;SCOPE_COHERENT,0.99,0308d940ad3a2650aff0b40eac3216df56c476dc6073598c56a0be49d2a1ea21,,,,,,,,,,,,,,,,,2026-07-29T06:44:14Z,2026-07-29T06:44:14Z,,,ACCEPT,ACCEPT,ACCEPT,ACCEPT,SINGLE_HUMAN_REVIEW,READY_FOR_CONTRACT_CONSTRUCTION,ce05f331eb4acecc7421d1b6addaa81d5294318ae829f91a98f7ec665466f297
