case_sha256,term_id,sense_id,context_id,context_groups,block_id,chapter_id,sentence_id,context_role,context_slot,context_type_proposal,sense_relation,matched_surface_exact,content_sha256,context_sha256,source_text
746c75e0ad178efe82b822a00170508f1a30b83319198b6a8ce11a3398c8a15c,d2lce_fa115d4c3a8140d91339df15,d2lce_fa115d4c3a8140d91339df15,ctx_0a74b6b6fec3cd733bef82fc,backup,d2l_recurrent_neural_networks_sequence_b023,d2l_recurrent_neural_networks,sentence_f8ac4271e634cd9587757c73,BACKUP,B2,C3,SAME_SENSE,reduction,3498a33f5cc91bcc0d76b9203d34935b0c7a838bb82350df977ead48b7b64300,0d27bcc8af45c287082ffc91aa99a7ab7ebff22403b7c247cf87a82efab4d2fe,"```{.python .input}
# A simple MLP
def get_net():
    net = nn.Sequential()
    net.add(nn.Dense(10, activation='relu'),
            nn.Dense(1))
    net.initialize(init.Xavier())
    return net

# Square loss
loss = gluon.loss.L2Loss()
```

```{.python .input}
#@tab pytorch
# Function for initializing the weights of the network
def init_weights(m):
    if type(m) == nn.Linear:
        nn.init.xavier_uniform_(m.weight)

# A simple MLP
def get_net():
    net = nn.Sequential(nn.Linear(4, 10),
                        nn.ReLU(),
                        nn.Linear(10, 1))
    net.apply(init_weights)
    return net

# Note: `MSELoss` computes squared error without the 1/2 factor
loss = nn.MSELoss(reduction='none')
```

```{.python .input}
#@tab tensorflow
# Vanilla MLP architecture
def get_net():
    net = tf.keras.Sequential([tf.keras.layers.Dense(10, activation='relu'),
                              tf.keras.layers.Dense(1)])
    return net

# Note: `MeanSquaredError` computes squared error without the 1/2 factor
loss = tf.keras.losses.MeanSquaredError()
```

Now we are ready to [**train the model**]."
746c75e0ad178efe82b822a00170508f1a30b83319198b6a8ce11a3398c8a15c,d2lce_fa115d4c3a8140d91339df15,d2lce_fa115d4c3a8140d91339df15,ctx_1181d8a3e218811366f7b56e,primary,d2l_recurrent_modern_seq2seq_b057,d2l_recurrent_modern,sentence_c0b6651133bfb2c216b102f3,PRIMARY,C2,C3,SAME_SENSE,reduction,0ee7373a62db0d64fc72c9556bd4b24831c3edda1e41e874474b6966bce457d5,df260f642fcdc4a67a21e2a6e674c27972ee03393d0376cead196f7106d2c0b2,"```{.python .input}
#@tab pytorch
#@save
class MaskedSoftmaxCELoss(nn.CrossEntropyLoss):
    """"""The softmax cross-entropy loss with masks.""""""
    # `pred` shape: (`batch_size`, `num_steps`, `vocab_size`)
    # `label` shape: (`batch_size`, `num_steps`)
    # `valid_len` shape: (`batch_size`,)
    def forward(self, pred, label, valid_len):
        weights = torch.ones_like(label)
        weights = sequence_mask(weights, valid_len)
        self.reduction='none'
        unweighted_loss = super(MaskedSoftmaxCELoss, self).forward(
            pred.permute(0, 2, 1), label)
        weighted_loss = (unweighted_loss * weights).mean(dim=1)
        return weighted_loss
```"
746c75e0ad178efe82b822a00170508f1a30b83319198b6a8ce11a3398c8a15c,d2lce_fa115d4c3a8140d91339df15,d2lce_fa115d4c3a8140d91339df15,ctx_401ea4ab60773305df974141,primary;definition;part_of_speech,d2l_preliminaries_linear_algebra_b078,d2l_preliminaries,sentence_8c6fe6b4ecceaf56e5ce07a0,PRIMARY,C4,C1,SAME_SENSE,Reduction,0dc8665d9fccf570ea68a1f1188acf6aa29fc4941901b588ef23abc3ccd8e0df,179f24ec293c715a41223e792c232a632dac4b992b12ebba54d5c914187dc30b,"## Reduction
:label:`subseq_lin-alg-reduction`"
746c75e0ad178efe82b822a00170508f1a30b83319198b6a8ce11a3398c8a15c,d2lce_fa115d4c3a8140d91339df15,d2lce_fa115d4c3a8140d91339df15,ctx_7666d9241aa1a4a1804291fb,primary;definition,d2l_linear_networks_linear_regression_concise_b075,d2l_linear_networks,sentence_abce541d3285632fa0933d34,PRIMARY,C5,C3,SAME_SENSE,reduction,a6c22e819db803a83fff754e3d7c42c96eb8d34d2dbb7da4747b4162e3fc4bd5,f0ef75f42dd04ff4ce7a466c198a934c965917b6378569a6b60e28d3b6741d2e,"If we replace `nn.MSELoss(reduction='sum')` with `nn.MSELoss()`, how can we change the learning rate for the code to behave identically."
746c75e0ad178efe82b822a00170508f1a30b83319198b6a8ce11a3398c8a15c,d2lce_fa115d4c3a8140d91339df15,d2lce_fa115d4c3a8140d91339df15,ctx_7d313060719ea864c98aabb1,backup,d2l_multilayer_perceptrons_mlp_concise_b013,d2l_multilayer_perceptrons,sentence_da2126c0c7900680522dad43,BACKUP,B3,C3,SAME_SENSE,reduction,52cc3f8e0aa573176535d37892802f9257242c1dc92edaf07896a36aaff81b67,62c73d29244ee0a530ad526de43338c37d92aa7ff1105613a199ec84d3a41333,"```{.python .input}
#@tab pytorch
batch_size, lr, num_epochs = 256, 0.1, 10
loss = nn.CrossEntropyLoss(reduction='none')
trainer = torch.optim.SGD(net.parameters(), lr=lr)
```"
746c75e0ad178efe82b822a00170508f1a30b83319198b6a8ce11a3398c8a15c,d2lce_fa115d4c3a8140d91339df15,d2lce_fa115d4c3a8140d91339df15,ctx_815a4c1f8b1f4b5fb069b1d7,primary;definition;part_of_speech,d2l_deep_learning_computation_custom_layer_b042,d2l_deep_learning_computation,sentence_8d4025f2e327c6f53e5dc465,PRIMARY,C1,C1,SAME_SENSE,reduction,97e19fa0bacbe19827714b13b2b78b2fe6f19b848843765b78fdd27fa87df494,4df2e5ea99936bad43f4257208f4a39bc16bdbf7e11421233da1e0bc75aa33bf,"Design a layer that takes an input and computes a tensor reduction,
   i.e., it returns $y_k = \sum_{i, j} W_{ijk} x_i x_j$."
746c75e0ad178efe82b822a00170508f1a30b83319198b6a8ce11a3398c8a15c,d2lce_fa115d4c3a8140d91339df15,d2lce_fa115d4c3a8140d91339df15,ctx_d1f9348ef19cdcd8ff5ac0de,primary,d2l_convolutional_neural_networks_why_conv_b004,d2l_convolutional_neural_networks,sentence_40f4a66605b63242fb8d3765,PRIMARY,C3,C4,SAME_SENSE,reduction,1d20ad2cb9f7c78f49278895ddb1106050df923ac0b7b4ca8b640c8a8220a2c2,98cbcb46135eb1c1df1953ea482532c2ed5dd7a342feaedf50f31517070a93b5,"According to our discussions of parameterization cost
of fully-connected layers in :numref:`subsec_parameterization-cost-fc-layers`,
even an aggressive reduction to one thousand hidden dimensions
would require a fully-connected layer
characterized by $10^6 \times 10^3 = 10^9$ parameters."
746c75e0ad178efe82b822a00170508f1a30b83319198b6a8ce11a3398c8a15c,d2lce_fa115d4c3a8140d91339df15,d2lce_fa115d4c3a8140d91339df15,ctx_df2876c9d5c03af64137057f,backup,d2l_attention_mechanisms_nadaraya_watson_b072,d2l_attention_mechanisms,sentence_ce6b7f727c3f5a5f48abd883,BACKUP,B1,C3,SAME_SENSE,reduction,68abccba6e005b824bbcbfe228c02d5cf49fabd0e8c8e100f0a0d973f2bbdc75,31649f4fc3203aeab130b56e9a2384cbd10457d10e3f502852fca4287b15fa9f,"```{.python .input}
#@tab pytorch
net = NWKernelRegression()
loss = nn.MSELoss(reduction='none')
trainer = torch.optim.SGD(net.parameters(), lr=0.5)
animator = d2l.Animator(xlabel='epoch', ylabel='loss', xlim=[1, 5])

for epoch in range(5):
    trainer.zero_grad()
    l = loss(net(x_train, keys, values), y_train)
    l.sum().backward()
    trainer.step()
    print(f'epoch {epoch + 1}, loss {float(l.sum()):.6f}')
    animator.add(epoch + 1, float(l.sum()))
```"
746c75e0ad178efe82b822a00170508f1a30b83319198b6a8ce11a3398c8a15c,d2lce_fa115d4c3a8140d91339df15,d2lce_fa115d4c3a8140d91339df15,ctxx_7bf4f962ca5e36499fdcecbb,contrastive,,,,CONTRASTIVE,X1,CONTRASTIVE,CONTRASTIVE,reduction,3d13edfcc9ae7a46e43b430ab1f6981b08913402e3a96c4e334070e4a2b3b60a,89379c43c341295e042eaf5fec2a9314261daea43e0b72767508152963703bb8,"Synthetic: The chemistry lab discussed reduction, meaning gain of electrons, which is unrelated to tensor reduction here."
6207b07577fa4e38be3e4f84f564c180044d41bdb6a122fc5e3a3aa2b905c7a7,d2lce_88251c1ff8b5d3756955ca7b,d2lce_88251c1ff8b5d3756955ca7b,ctx_06e708938888799ff3a5dffa,primary;part_of_speech,d2l_computer_vision_rcnn_b036,d2l_computer_vision,sentence_278aafc8e3137d23294f79e5,PRIMARY,C3,C4,SAME_SENSE,region of interest pooling layer,71bbdcd954f469d02ae72c52e0cc7e9bf080910e8fb98ed6eccf8dad3fbb250f,d77bf219e517adb02b68c94d89c554052a9eb51682aa93e180260943196ddf76,"Specifically,
the mask R-CNN replaces the
region of interest pooling layer with the
*region of interest (RoI) alignment* layer."
