blind_case_id,term_id,sense_id,context_id,context_role,context_slot,matched_surface_exact,block_id,chapter_id,sentence_id,content_sha256,context_sha256,source_text
blind_bb92af5a9d45886c0b56a51a,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,ctx_724a58cef32d03f9a90cc4d9,BACKUP,B1,adam,d2l_natural_language_processing_applications_sentiment_analysis_rnn_b024,d2l_natural_language_processing_applications,sentence_6504a010cb03245a1aa6b3d7,537a356344164f7587abc26e44dfefd681557447e126010173b425f633e7affd,58fbfceae113a0876a696822d36ab2c98ee9d93ccff6bdfe0d94260e7d761d6e,"```{.python .input}
lr, num_epochs = 0.01, 5
trainer = gluon.Trainer(net.collect_params(), 'adam', {'learning_rate': lr})
loss = gluon.loss.SoftmaxCrossEntropyLoss()
d2l.train_ch13(net, train_iter, test_iter, loss, trainer, num_epochs, devices)
```"
blind_bb92af5a9d45886c0b56a51a,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,ctx_c4effad022bd5e216d2eaf51,BACKUP,B2,adam,d2l_recurrent_neural_networks_sequence_b023,d2l_recurrent_neural_networks,sentence_babc3cd0613c442b6ef9cb75,9e344e27d68e958e0651dba50b9f91817d9b714ecbe45dd520889a63b3f2dc67,199343a9ea796848a42eabc616f91999879e7dafd214b8eb8c7b955bd832fe64,"```{.python .input}
def train(net, train_iter, loss, epochs, lr):
    trainer = gluon.Trainer(net.collect_params(), 'adam',
                            {'learning_rate': lr})
    for epoch in range(epochs):
        for X, y in train_iter:
            with autograd.record():
                l = loss(net(X), y)
            l.backward()
            trainer.step(batch_size)
        print(f'epoch {epoch + 1}, '
              f'loss: {d2l.evaluate_loss(net, train_iter, loss):f}')

net = get_net()
train(net, train_iter, loss, 5, 0.01)
```

```{.python .input}
#@tab pytorch
def train(net, train_iter, loss, epochs, lr):
    trainer = torch.optim.Adam(net.parameters(), lr)
    for epoch in range(epochs):
        for X, y in train_iter:
            trainer.zero_grad()
            l = loss(net(X), y)
            l.sum().backward()
            trainer.step()
        print(f'epoch {epoch + 1}, '
              f'loss: {d2l.evaluate_loss(net, train_iter, loss):f}')

net = get_net()
train(net, train_iter, loss, 5, 0.01)
```

```{.python .input}
#@tab tensorflow
def train(net, train_iter, loss, epochs, lr):
    trainer = tf.keras.optimizers.Adam()
    for epoch in range(epochs):
        for X, y in train_iter:
            with tf.GradientTape() as g:
                out = net(X)
                l = loss(y, out)
                params = net.trainable_variables
                grads = g.gradient(l, params)
            trainer.apply_gradients(zip(grads, params))
        print(f'epoch {epoch + 1}, '
              f'loss: {d2l.evaluate_loss(net, train_iter, loss):f}')

net = get_net()
train(net, train_iter, loss, 5, 0.01)
```

## Prediction

Since the training loss is small, we would expect our model to work well."
blind_bb92af5a9d45886c0b56a51a,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,ctx_feb069ef1ecb8e58ef71c482,PRIMARY,C1,adam,d2l_multilayer_perceptrons_kaggle_house_price_b053,d2l_multilayer_perceptrons,sentence_41b5be4eb9f5dfc1d0103e9d,06859437c95124e62cf198f1efaf7e41b748e915e89a59fd6cc43947260da746,12df2ae63d46c527cfd05c30ed3d18e08fede11c94f259c9f130d78d9a652626,"Unlike in previous sections, [**our training functions
will rely on the Adam optimizer
(we will describe it in greater detail later)**]."
blind_bb92af5a9d45886c0b56a51a,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,ctx_5c812a90177b5b129b327432,PRIMARY,C2,adam,d2l_optimization_index_b002,d2l_optimization,sentence_4e3e135cd20a5f0e48468df9,367c7fd3bc00098c51280201953e74ac5a2bd6ce6d64f5bbfc1fd0ff1079e34b,ecf51b34627188e463d13a5f936534bcf79ddc08da9e190eb6de55a8f3cfbac1,"Indeed, anyone content with treating optimization as a black box device to minimize objective functions in a simple setting might well content oneself with the knowledge that there exists an array of incantations of such a procedure (with names such as ""SGD"" and ""Adam"")."
blind_bb92af5a9d45886c0b56a51a,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,ctx_4a985a7867b0862e601aa744,PRIMARY,C4,adam,d2l_computer_vision_image_augmentation_b055,d2l_computer_vision,sentence_d271d8883c43dc451760b4cf,8b168d2fd60f2411a029cf60441c7389c75ccdbd3de6b62abddba0fe6a1e800b,19b821ba386963dcc6c34b635ee4c0642632895259719fc9982416d3e44633bc,"This function gets all available GPUs, 
uses Adam as the optimization algorithm,
applies image augmentation to the training dataset,
and finally calls the `train_ch13` function just defined to train and evaluate the model."
blind_bb92af5a9d45886c0b56a51a,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,ctx_3c4a7aaec02b50911df8c766,PRIMARY,C3,adam,d2l_recurrent_modern_seq2seq_b065,d2l_recurrent_modern,sentence_a310602f3d1e430e5bfceb85,c1ec7ab123ff085eef1ad298883abbff3303269df34514e943954ad0174446b1,08c94fcbdffb500a1b1bbe1b3afeac1cd51df183f48bb73545f8065ed0d5717d,"```{.python .input}
#@save
def train_seq2seq(net, data_iter, lr, num_epochs, tgt_vocab, device):
    """"""Train a model for sequence to sequence.""""""
    net.initialize(init.Xavier(), force_reinit=True, ctx=device)
    trainer = gluon.Trainer(net.collect_params(), 'adam',
                            {'learning_rate': lr})
    loss = MaskedSoftmaxCELoss()
    animator = d2l.Animator(xlabel='epoch', ylabel='loss',
                            xlim=[10, num_epochs])
    for epoch in range(num_epochs):
        timer = d2l.Timer()
        metric = d2l.Accumulator(2)  # Sum of training loss, no."
blind_bb92af5a9d45886c0b56a51a,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,ctx_58c0a9351bd98055ea39a9a0,PRIMARY,C5,adam,d2l_natural_language_processing_pretraining_word2vec_pretraining_b036,d2l_natural_language_processing_pretraining,sentence_a93f6bee779d41e73ea2a793,b897a3b08d83fee5610ef4afd0007c1be31dbccb13d8c51ef091e480f9ecbfc2,aa7446dda7859bbca3031411c690ff8a9bcb79332a65e542d782daa0ca62165a,"```{.python .input}
def train(net, data_iter, lr, num_epochs, device=d2l.try_gpu()):
    net.initialize(ctx=device, force_reinit=True)
    trainer = gluon.Trainer(net.collect_params(), 'adam',
                            {'learning_rate': lr})
    animator = d2l.Animator(xlabel='epoch', ylabel='loss',
                            xlim=[1, num_epochs])
    # Sum of normalized losses, no."
blind_77e132119c2bd238388c9bb3,d2lce_98b37a7bcb47cd2ef2e5f296,d2lce_98b37a7bcb47cd2ef2e5f296,ctx_8ce751d21f2cb72d502c47b8,BACKUP,B1,fully-connected layers,d2l_deep_learning_computation_model_construction_b013,d2l_deep_learning_computation,sentence_88730d52d54239993b8f0316,3a5d9788b3633cb12229a18a33e059ce8730d218001d2b1fb6c951517d820910,efeb1d1feaa8e3b3885e1ba58969e92522dc02cacffb0d61a41484b201073732,"Note that each of the two fully-connected layers is an instance of the `Linear` class
which is itself a subclass of `Module`."
blind_77e132119c2bd238388c9bb3,d2lce_98b37a7bcb47cd2ef2e5f296,d2lce_98b37a7bcb47cd2ef2e5f296,ctx_eafeb346f16534dd44c4414d,BACKUP,B2,fully-connected layers,d2l_linear_networks_softmax_regression_b018,d2l_linear_networks,sentence_f175f09b17949d79fdfe6562,e81b24aac0b3cbd5fe7b40c6bb8b8a70c5da00dcef6b16728375faeaba022ea9,209462aaaabe856b76321b092e6ee9b123e3331300e4b31148effd382c70ec2b,"## Parameterization Cost of Fully-Connected Layers
:label:`subsec_parameterization-cost-fc-layers`"
blind_77e132119c2bd238388c9bb3,d2lce_98b37a7bcb47cd2ef2e5f296,d2lce_98b37a7bcb47cd2ef2e5f296,ctx_f4fa216c07f2cf0249eb37ca,BACKUP,B3,fully-connected layers,d2l_recurrent_neural_networks_sequence_b023,d2l_recurrent_neural_networks,sentence_467449b36bf28a6c820cac7e,8caecab8ae7aafedb156635763d66d66d844ee93f16f0bbe70b00636517c7198,0526460416ecb9a4e81b163d3754ebf9d3e718559cac42c5ec9e5ec65b4549e5,"```{.python .input}
#@tab mxnet, pytorch
tau = 4
features = d2l.zeros((T - tau, tau))
for i in range(tau):
    features[:, i] = x[i: T - tau + i]
labels = d2l.reshape(x[tau:], (-1, 1))
```

```{.python .input}
#@tab tensorflow
tau = 4
features = tf.Variable(d2l.zeros((T - tau, tau)))
for i in range(tau):
    features[:, i].assign(x[i: T - tau + i])
labels = d2l.reshape(x[tau:], (-1, 1))
```

```{.python .input}
#@tab all
batch_size, n_train = 16, 600
# Only the first `n_train` examples are used for training
train_iter = d2l.load_array((features[:n_train], labels[:n_train]),
                            batch_size, is_train=True)
```

Here we [**keep the architecture fairly simple:
just an MLP**] with two fully-connected layers, ReLU activation, and squared loss."
