context_id,document_id,chapter_id,block_id,sentence_id,source_text,source_start_offset,source_end_offset,term_start_offset,term_end_offset,source_hash,origin,extraction_method,context_role,context_type,sense_id,scope_id,audit_status,audit_reason,eligible_for_c_primary_support,eligible_for_c_support,parent_record_id,parent_record_sha256,transformation_id,transformation_version
ctx_00060c0d518148705d609385,document,d2l_computer_vision,d2l_computer_vision_anchor_b012,sentence_ef59d2fff01e475633e15828,"```{.python .input}
#@save
def multibox_prior(data, sizes, ratios):
    """"""Generate anchor boxes with different shapes centered on each pixel.""""""
    in_height, in_width = data.shape[-2:]
    device, num_sizes, num_ratios = data.ctx, len(sizes), len(ratios)
    boxes_per_pixel = (num_sizes + num_ratios - 1)
    size_tensor = d2l.tensor(sizes, ctx=device)
    ratio_tensor = d2l.tensor(ratios, ctx=device)
    # Offsets are required to move the anchor to the center of a pixel.",0,478,413,420,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,CORPUS_EXTRACTED,EXACT_SOURCE_SUBSTRING,PRIMARY,C1,d2lce_e749bbd007351d6963f2bbd0,d2l_selected_campaign_scope_v1,PASS_CORPUS_EXTRACTED,"Exact source substring, hashes, provenance, and offsets verified.",True,True,ctx_00060c0d518148705d609385,5442af42ccfb2299a5713e0c14e51bfec8ba1c2c426ab300256f847c4320d6f2,d2l_methodology_corpus_origin_audit,1.0.0
ctx_0018248a05d490e292afdea5,document,d2l_attention_mechanisms,d2l_attention_mechanisms_attention_cues_b014,sentence_b55a324b907b8b68eff4c103,"Therefore,
what sets attention mechanisms
apart from those fully-connected layers
or pooling layers
is the inclusion of the volitional cues.",0,140,124,139,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,CORPUS_EXTRACTED,EXACT_SOURCE_SUBSTRING,BACKUP,C1,d2lce_ad03ff147d19eb2ea47d5b0e,d2l_selected_campaign_scope_v1,PASS_CORPUS_EXTRACTED,"Exact source substring, hashes, provenance, and offsets verified.",False,True,ctx_0018248a05d490e292afdea5,b2d137b7b1429d41321ed1465d31587329005708d80f41df7b21621611c1f881,d2l_methodology_corpus_origin_audit,1.0.0
ctx_004316e859832b3cfcf7035e,document,d2l_multilayer_perceptrons,d2l_multilayer_perceptrons_mlp_b070,sentence_54f1e60ebae3563f83762065,The derivative of tanh function is plotted below.,0,49,18,31,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,CORPUS_EXTRACTED,EXACT_SOURCE_SUBSTRING,PRIMARY,C2,d2lce_658174b1687c73f5aa1957ab,d2l_selected_campaign_scope_v1,PASS_CORPUS_EXTRACTED,"Exact source substring, hashes, provenance, and offsets verified.",True,True,ctx_004316e859832b3cfcf7035e,8cee2ad6ed5f9b1b847897d5653d2dd684d6be27bc156f4985ae49ceebcca3f1,d2l_methodology_corpus_origin_audit,1.0.0
ctx_004cf67c0773c334bdf33ee0,document,d2l_multilayer_perceptrons,d2l_multilayer_perceptrons_underfit_overfit_b004,sentence_c22c9f5e298b513728c2cc17,"To recapitulate more formally,
our goal is to discover patterns
that capture regularities in the underlying population
from which our training set was drawn.",0,157,108,118,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,CORPUS_EXTRACTED,EXACT_SOURCE_SUBSTRING,PRIMARY,C2,d2lce_b0fd0234a2a3049734e8011c,d2l_selected_campaign_scope_v1,PASS_CORPUS_EXTRACTED,"Exact source substring, hashes, provenance, and offsets verified.",True,True,ctx_004cf67c0773c334bdf33ee0,fa3190582e0fa36de426ef7bd64680b4a198d7d2046c30488b3069d1d8f35465,d2l_methodology_corpus_origin_audit,1.0.0
ctx_005ac3ba6b11534979ff46ad,document,d2l_optimization,d2l_optimization_optimization_intro_b021,sentence_ab22d2442f5d5afcbfa31e2f,"In fact, this is one of the beneficial properties of
minibatch stochastic gradient descent where the natural variation of gradients over minibatches is able to dislodge the parameters from local minima.",453,655,195,201,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,CORPUS_EXTRACTED,EXACT_SOURCE_SUBSTRING,PRIMARY,C1,d2lce_455f2de181035ca8388c30b0,d2l_selected_campaign_scope_v1,PASS_CORPUS_EXTRACTED,"Exact source substring, hashes, provenance, and offsets verified.",True,True,ctx_005ac3ba6b11534979ff46ad,860adbb2162fc4c0b36427c86ca5b9c1ba46aa07467afb584dd4d2f585e23413,d2l_methodology_corpus_origin_audit,1.0.0
ctx_0065bebfdcf4a9b6ce79df26,document,d2l_computer_vision,d2l_computer_vision_transposed_conv_b041,sentence_09f187fa9778cf2ef4abac12,"* If we feed $\mathsf{X}$ into a convolutional layer $f$ to output $\mathsf{Y}=f(\mathsf{X})$ and create a transposed convolutional layer $g$ with the same hyperparameters as $f$ except for the number of output channels being the number of channels in $\mathsf{X}$, then $g(Y)$ will have the same shape as $\mathsf{X}$.",213,532,107,137,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,CORPUS_EXTRACTED,EXACT_SOURCE_SUBSTRING,BACKUP,C4,d2lce_b63485c15ac13f80b0d98676,d2l_selected_campaign_scope_v1,PASS_CORPUS_EXTRACTED,"Exact source substring, hashes, provenance, and offsets verified.",False,True,ctx_0065bebfdcf4a9b6ce79df26,bcaaf84452af4843ea3aff9d401e7c8cd18475a12c13dbd5001c7c1c2dfa6943,d2l_methodology_corpus_origin_audit,1.0.0
ctx_01284a3b6932dfc4de14bac9,document,d2l_introduction,d2l_introduction_index_b068,sentence_e5ba3d8f052a8369c5fcdc43,"Depending on what we want to do with our model
ultimately, treating this as a binary classification problem
might not make a lot of sense.",135,273,78,99,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,CORPUS_EXTRACTED,EXACT_SOURCE_SUBSTRING,PRIMARY,C3,d2lce_bb2aa6e567ff5ce9563e209b,d2l_selected_campaign_scope_v1,PASS_CORPUS_EXTRACTED,"Exact source substring, hashes, provenance, and offsets verified.",True,True,ctx_01284a3b6932dfc4de14bac9,1f14cb1a9e723d29d9ea5fd5fdf591e5363a160db17cbf40dff8f94397f7138c,d2l_methodology_corpus_origin_audit,1.0.0
ctx_0137ba0f0626d6bffd760691,document,d2l_computational_performance,d2l_computational_performance_multiple_gpus_b007,sentence_688c6cd7129fa0f0f8adb5e5,"For instance, rather than computing 64 channels on a single GPU we could split up the problem across 4 GPUs, each of which generates data for 16 channels.",43,197,53,63,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,CORPUS_EXTRACTED,EXACT_SOURCE_SUBSTRING,PRIMARY,C1,d2lce_e014da89e120449f8881dd5b,d2l_selected_campaign_scope_v1,PASS_CORPUS_EXTRACTED,"Exact source substring, hashes, provenance, and offsets verified.",True,True,ctx_0137ba0f0626d6bffd760691,8bb4f399374a93716e6d9145d56f8fc7436f2e14c4b49d7e5c01bd699c2c3f4d,d2l_methodology_corpus_origin_audit,1.0.0
ctx_017659fee16b4b1352f9f1b5,document,d2l_convolutional_neural_networks,d2l_convolutional_neural_networks_why_conv_b039,sentence_5cd498b77e4773058cec9c99,"To support multiple channels in both inputs ($\mathsf{X}$) and hidden representations ($\mathsf{H}$),
we can add a fourth coordinate to $\mathsf{V}$: $[\mathsf{V}]_{a, b, c, d}$.",0,178,11,28,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,CORPUS_EXTRACTED,EXACT_SOURCE_SUBSTRING,PRIMARY,C3,d2lce_ccf7d0a5109d86ee76a75b9c,d2l_selected_campaign_scope_v1,PASS_CORPUS_EXTRACTED,"Exact source substring, hashes, provenance, and offsets verified.",True,True,ctx_017659fee16b4b1352f9f1b5,93a9b23aea56652ebbe6f8ae8d3999de879a577084893f3dee890eb8d27e7796,d2l_methodology_corpus_origin_audit,1.0.0
ctx_0196df223b107d63e312df82,document,d2l_attention_mechanisms,d2l_attention_mechanisms_attention_cues_b010,sentence_3245613c96a7ef414afcfc67,"![Using the volitional cue (want to read a book) that is task-dependent, attention is directed to the book under volitional control.](../img/eye-book.svg)
:width:`400px`
:label:`fig_eye-book`",0,191,12,26,c22620a96e3fbd97526f13ea9ccf508307d1175ea9bb8d3a5b6dfefb098a3f7f,CORPUS_EXTRACTED,EXACT_SOURCE_SUBSTRING,BACKUP,C1,d2lce_ad03ff147d19eb2ea47d5b0e,d2l_selected_campaign_scope_v1,PASS_CORPUS_EXTRACTED,"Exact source substring, hashes, provenance, and offsets verified.",False,True,ctx_0196df223b107d63e312df82,8a00d5022f4f4f0943ebd1b76e9386fb56035250c5b8496c7ec451578663dc44,d2l_methodology_corpus_origin_audit,1.0.0
