candidate_id,candidate_slot,candidate_target_vi,output_sense_id,parent_sense_id,source_term,split_label,formation_method,source_candidate_instance_id,source_candidate_instance_sha256,candidate_proposal_sha256
candidate_71daf6039ab2e893cedccaf3,CANDIDATE_1,lực kiểm định,d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,NO_SPLIT,REUSE_V3_CANDIDATE,candidate_71daf6039ab2e893cedccaf3,7dff9f0b6f636462416290a85f79aef74300c02e85b5fee20e9811b972b11037,b744b0ab87b149b23caf18b6f8d8856b5d16a0246c694e08a5068516cbe166fe
candidate_8a4dcddfb53356985673d7d4,CANDIDATE_2,mạnh,d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,NO_SPLIT,REUSE_V3_CANDIDATE,candidate_8a4dcddfb53356985673d7d4,e8f5213594d7c19334cf3a3c39fcdcad9dde0eb2b3c1b3e03ed1eddeaa3cafe8,b9acedc301e01bf30a08fc1a1bfbf5b2b5c9a737b645f95a1bb2cf882bdf3ca9
candidate_494d3d67a89723a07ce74292,CANDIDATE_3,độ mạnh thống kê,d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,NO_SPLIT,REUSE_V3_CANDIDATE,candidate_494d3d67a89723a07ce74292,8caae0aee5c82a0be8a9d420ec566790c9b9102b4c40aaafeaed186b8934542d,39b742ade478537f069c3f7d99141d33d86075fb54af8a88f91625446c806efa
candidate_06d715e19674c0ad4cd051ab,CANDIDATE_1,đã được thiết lập,d2lce_51ce8cc13680668af18c9d10,d2lce_2684090fd4500122fec2a334,in place,ESTABLISHED_CONFIGURATION,DATASET_TARGETED_REPAIR_PROPOSAL,,,d1a1fe0fbf7e6b28f7f4af7e672992aad3ff3db91170a8053fda55428b404061
candidate_a49c94f0d928776d6abe62e9,CANDIDATE_2,đã sẵn sàng,d2lce_51ce8cc13680668af18c9d10,d2lce_2684090fd4500122fec2a334,in place,ESTABLISHED_CONFIGURATION,DATASET_TARGETED_REPAIR_PROPOSAL,,,9647e598af705eddaad8dd12ced60b0825f50279fd255c627b79ad4ba69f4cff
candidate_270b146d405d67d006648a35,CANDIDATE_3,đang được áp dụng,d2lce_51ce8cc13680668af18c9d10,d2lce_2684090fd4500122fec2a334,in place,ESTABLISHED_CONFIGURATION,DATASET_TARGETED_REPAIR_PROPOSAL,,,33679ba342329d5fefea175d77dd0f5108aa46b28105708e0e7f276d69232134
candidate_eb4b9982b22d45554720135e,CANDIDATE_1,Adam,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,Adam,NO_SPLIT,REUSE_V3_CANDIDATE,candidate_eb4b9982b22d45554720135e,659f97471f585d725b26d96af1e862133a9f08567cf365067fa562f6ae5458d5,46e510ab8420cc0944b934bd099e6f0a6c7bf310c8b382c52dc78ab420526d15
candidate_d2ab7fc22d0620dfdeb0a667,CANDIDATE_2,thuật toán tối ưu Adam,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,Adam,NO_SPLIT,REUSE_V3_CANDIDATE,candidate_d2ab7fc22d0620dfdeb0a667,fa7da7964fc94448ed3a97913c27f9ede39c37c47526026ca13e7b5c300f3cff,88844d740493c826f9888d14d1c59d6ca68cfd3e66e9fc26b321fe186feaf60c
candidate_5b40ab20a731994cf4619c72,CANDIDATE_3,bộ tối ưu Adam,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,Adam,NO_SPLIT,REUSE_V3_CANDIDATE,candidate_5b40ab20a731994cf4619c72,798d484c99d0000811445041feb2d7885db38b0beff3e1b1e063ee1b2700be29,ede2b457ad633c1cc85632cc6cb562f1fb1d6574aa80f66b0ad39d62315b942e
candidate_f23d2f328dce6e51b201bc62,CANDIDATE_1,tại chỗ,d2lce_97f1f447efe7908ef1e8daf4,d2lce_2684090fd4500122fec2a334,in place,IN_PLACE_MUTATION,DATASET_TARGETED_REPAIR_PROPOSAL,candidate_544f2b9c05154c7e07c55014,36bfc020742fdbc2b1f0272d46108f577e195a44f5c6b143f60dbf90708da505,a9ee675aa4ee85d1b2813a8f89d3fcd972323598d5a9ba35a4ab0412b1644a92
