"case_sha256","term_id","sense_id","context_id","context_groups","block_id","chapter_id","sentence_id","context_role","context_slot","context_type_proposal","sense_relation","matched_surface_exact","content_sha256","context_sha256","source_text"
"033f556bf2ed07a190dd84f9543669c590a2f6db41b405e25cb7b9155040ed2b","d2lce_270e1a75bb70807d9c2dd507","d2lce_270e1a75bb70807d9c2dd507","ctx_0f6cacd1df0fd9a1a8c5ed8d","contrastive","d2l_computational_performance_hardware_b012","d2l_computational_performance","sentence_3a738a5e9091a497fc1c5d6a","CONTRASTIVE","X1","C2","CONTRASTIVE","channels","3a6bb882b6721de46d6a4a2dc67d3ebd5f79320c8b7b05837e6030277141e8ee","61064b872e49b6a6e2bff0847a7d6b5bdfce9af3dab3de7153e2e96f411eef8c","CPUs have between 2 and 4 memory channels, i.e., they have between 4 0GB/s and 100 GB/s peak memory bandwidth."
"033f556bf2ed07a190dd84f9543669c590a2f6db41b405e25cb7b9155040ed2b","d2lce_270e1a75bb70807d9c2dd507","d2lce_270e1a75bb70807d9c2dd507","ctx_4bb23f20ff0fa67bc6c1be83","primary;definition;part_of_speech","d2l_preliminaries_linear_algebra_b060","d2l_preliminaries","sentence_f6f1f806e59cd3b9f03ea426","PRIMARY","C2","C1","SAME_SENSE","channels","bdffd524bbd8a5b5033d99ced5c6a7692a426dc377fde64e386ca251bc0fc715","ec0f0c8e48f743fc12a00cc67b5c8356a3f53c12df5097b3881af50fbd2c06b6","Tensors will become more important when we start working with images,
 which arrive as $n$-dimensional arrays with 3 axes corresponding to the height, width, and a *channel* axis for stacking the color channels (red, green, and blue)."
"033f556bf2ed07a190dd84f9543669c590a2f6db41b405e25cb7b9155040ed2b","d2lce_270e1a75bb70807d9c2dd507","d2lce_270e1a75bb70807d9c2dd507","ctx_50b02cc418dce008fb37b2ea","primary;definition;part_of_speech","d2l_linear_networks_image_classification_dataset_b015","d2l_linear_networks","sentence_780ae211bf62df9f14ff8a9b","PRIMARY","C1","C1","SAME_SENSE","channels","d9cfeb935b830b2b5f9285399c2234408ab760dca2d41a43fb5a4f09cdbff8a9","85604937309ed0d987b5523bdc4fc674e83344828af6b53bb1f855ab35c1bb3d","Note that the dataset consists of grayscale images, whose number of channels is 1."
"033f556bf2ed07a190dd84f9543669c590a2f6db41b405e25cb7b9155040ed2b","d2lce_270e1a75bb70807d9c2dd507","d2lce_270e1a75bb70807d9c2dd507","ctx_79213e2c4e36b995f90f0b30","primary;definition;part_of_speech","d2l_introduction_index_b024","d2l_introduction","sentence_f17192445be442b75c04dad4","PRIMARY","C3","C1","SAME_SENSE","channels","470b16244bb9fe3305eee8cdca73bb85c2e0c2c6ac8da554b8705d7c863e7d24","ba6ec342999aecb305a64929a5db6a203049617d44200cd5df3e178e161b6f84","A $200\times 200$ color photograph would consist of $200\times200\times3=120000$
numerical values, corresponding to the brightness
of the red, green, and blue channels for each spatial location."
"033f556bf2ed07a190dd84f9543669c590a2f6db41b405e25cb7b9155040ed2b","d2lce_270e1a75bb70807d9c2dd507","d2lce_270e1a75bb70807d9c2dd507","ctx_93be4d86c465d785ac0a0ec1","backup;definition","d2l_attention_mechanisms_self_attention_and_positional_encoding_b018","d2l_attention_mechanisms","sentence_94a8b62946763f26e742db54","BACKUP","B2","C1","SAME_SENSE","channels","c69aa6283b72c21af7c9fd330574d65ee54faefb1da390e5df2caea71eda777b","9564c9c16a72d6896988845e19549b5e28bcab6a4134d416596e19ed8180e846","For now,
we only need to know that
since the sequence length is $n$,
the numbers of input and output channels are both $d$,
the computational complexity of the convolutional layer is $\mathcal{O}(knd^2)$."
"033f556bf2ed07a190dd84f9543669c590a2f6db41b405e25cb7b9155040ed2b","d2lce_270e1a75bb70807d9c2dd507","d2lce_270e1a75bb70807d9c2dd507","ctx_e066da075985b1450c0cd804","primary;definition;part_of_speech","d2l_convolutional_neural_networks_index_b005","d2l_convolutional_neural_networks","sentence_27f3e0ec9d14cbd6108f4db0","PRIMARY","C4","C1","SAME_SENSE","channels","797545d4829d49809c4ef85ee3d9c7449e00ed9ce8b949f0b99dbcb71e1abd60","36c1c5fd649bca69b3149222c774242001cf01b7c09c018f75792db45b458890","These include the convolutional layers themselves,
nitty-gritty details including padding and stride,
the pooling layers used to aggregate information
across adjacent spatial regions,
the use of multiple channels  at each layer,
and a careful discussion of the structure of modern architectures."
"033f556bf2ed07a190dd84f9543669c590a2f6db41b405e25cb7b9155040ed2b","d2lce_270e1a75bb70807d9c2dd507","d2lce_270e1a75bb70807d9c2dd507","ctx_e7437fb0f0bdad9c3645e83b","primary;definition","d2l_convolutional_modern_alexnet_b030","d2l_convolutional_modern","sentence_ec2876b3a76c818267c2da4a","PRIMARY","C5","C1","SAME_SENSE","channels","76716911374742231da950761217f574873ccc46d9147ea75de333d80057972c","d086acf8c49c1788b9872727b259c4ffb1c423b45153341ad91fc2db7d570011","Moreover, AlexNet has ten times more convolution channels than LeNet."
"033f556bf2ed07a190dd84f9543669c590a2f6db41b405e25cb7b9155040ed2b","d2lce_270e1a75bb70807d9c2dd507","d2lce_270e1a75bb70807d9c2dd507","ctx_e7ad2905fd773a830f6b4c43","backup;definition","d2l_optimization_lr_scheduler_b007","d2l_optimization","sentence_f1351f02c1b8d1a32749acc0","BACKUP","B1","C1","SAME_SENSE","channels","b07bb86b33969fd39776a647de0d44169a466df14bef5926b05603c97bf4270e","6ac8758ac6e79af836cdb9cac87e1acd9dd7e1dec905a9ebfbdd5f6484564376","```{.python .input}
%matplotlib inline
from d2l import mxnet as d2l
from mxnet import autograd, gluon, init, lr_scheduler, np, npx
from mxnet.gluon import nn
npx.set_np()

net = nn.HybridSequential()
net.add(nn.Conv2D(channels=6, kernel_size=5, padding=2, activation='relu'),
        nn.MaxPool2D(pool_size=2, strides=2),
        nn.Conv2D(channels=16, kernel_size=5, activation='relu'),
        nn.MaxPool2D(pool_size=2, strides=2),
        nn.Dense(120, activation='relu'),
        nn.Dense(84, activation='relu'),
        nn.Dense(10))
net.hybridize()
loss = gluon.loss.SoftmaxCrossEntropyLoss()
device = d2l.try_gpu()

batch_size = 256
train_iter, test_iter = d2l.load_data_fashion_mnist(batch_size=batch_size)

# The code is almost identical to `d2l.train_ch6` defined in the 
# lenet section of chapter convolutional neural networks
def train(net, train_iter, test_iter, num_epochs, loss, trainer, device):
    net.initialize(force_reinit=True, ctx=device, init=init.Xavier())
    animator = d2l.Animator(xlabel='epoch', xlim=[0, num_epochs],
                            legend=['train loss', 'train acc', 'test acc'])
    for epoch in range(num_epochs):
        metric = d2l.Accumulator(3)  # train_loss, train_acc, num_examples
        for i, (X, y) in enumerate(train_iter):
            X, y = X.as_in_ctx(device), y.as_in_ctx(device)
            with autograd.record():
                y_hat = net(X)
                l = loss(y_hat, y)
            l.backward()
            trainer.step(X.shape[0])
            metric.add(l.sum(), d2l.accuracy(y_hat, y), X.shape[0])
            train_loss = metric[0] / metric[2]
            train_acc = metric[1] / metric[2]
            if (i + 1) % 50 == 0:
                animator.add(epoch + i / len(train_iter),
                             (train_loss, train_acc, None))
        test_acc = d2l.evaluate_accuracy_gpu(net, test_iter)
        animator.add(epoch + 1, (None, None, test_acc))
    print(f'train loss {train_loss:.3f}, train acc {train_acc:.3f}, '
          f'test acc {test_acc:.3f}')
```"
"4a5e425051cd0459b251dad8e72e2eb4ec3728360b019f848f105e471e090931","d2lce_73c8ce2915c4c64a52fab4a2","d2lce_73c8ce2915c4c64a52fab4a2","ctx_111ebd3664347c4b99a35b2e","primary;definition;part_of_speech","d2l_generative_adversarial_networks_gan_b007","d2l_generative_adversarial_networks","sentence_ef0c432371de43008c187951","PRIMARY","C2","C1","SAME_SENSE","generator","366dcf4bec1d94f19680237085f37e6cf925cf5f073e6130ffff8075ddea5c18","9d62424fd49bddc5322ca97fef4b11c45cd0acc5699bb6385bf22f8f2679502c","We call this the generator network."
"4a5e425051cd0459b251dad8e72e2eb4ec3728360b019f848f105e471e090931","d2lce_73c8ce2915c4c64a52fab4a2","d2lce_73c8ce2915c4c64a52fab4a2","ctx_2aca2894517926700f9e34d1","primary","d2l_generative_adversarial_networks_gan_b007","d2l_generative_adversarial_networks","sentence_56b42587f984dab5f63f8fb2","PRIMARY","C3","C1","SAME_SENSE","generator","7c3e96597e2b4681d57b70c8f2b1b30b706f5c37b1a1be1f494210a1943f2d82","76d0f7e008f69448b14d1ec63e723b808da87cff44300bf6f5f2aaa9b0d83822","This information, in turn is used to improve the generator network, and so on."
