term_id,sense_id,source_term,split,risk_class,risk_reasons,active_real_positive_context_count,review_requirement,risk_record_sha256
d2lce_00c0e4f7d0d5537d738af8a7,d2lce_00c0e4f7d0d5537d738af8a7,symmetry,validation,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,12f7393da490dfe947fc89c18174a7fcc2704b8686be6468418627ea0b5128cd
d2lce_00f50f89defd8652bb8c429e,d2lce_00f50f89defd8652bb8c429e,sigmoid function,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,f8520a3569e2a36cc130fb1d1a8012823f126aaae2f653a3a84d8b1ec27d8981
d2lce_041add3a2f3aa452408a5384,d2lce_041add3a2f3aa452408a5384,style transfer,test,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,6,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,0e95f506be225e8cbd57d299b240527a8463abf52e31d57c221b5643fae01305
d2lce_04b7107b328dedc7c1f9af65,d2lce_04b7107b328dedc7c1f9af65,minibatch,development,R3_AMBIGUOUS,V3_STRATUM_AMBIGUOUS,5,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,0ba0b7a38d255f4278c60b9c3a08f7cb23888c3ee4d200b522b1765fef9d7973
d2lce_06b54fbb7406aced0daac405,d2lce_06b54fbb7406aced0daac405,positions,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,7,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,0ada95edd5697e7a55d80b6474764f0ea8a5c65f552a65958d4b5f439c50cd44
d2lce_0a19e86b29b5e64f79a45ddc,d2lce_0a19e86b29b5e64f79a45ddc,convex function,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,ce7755b66f5c431bd866520f67242a737f76c90fec6baf8b25b56e878d3bee59
d2lce_0ac8f3308547fb001c31e869,d2lce_0ac8f3308547fb001c31e869,MLP,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,7,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,81af72a7c516be90094f2a89d160e680d1bd4a1acb579dbf88c2415031726b0c
d2lce_0dbb5a3cc045f69a43d09a7a,d2lce_0dbb5a3cc045f69a43d09a7a,BPR,validation,R2_MISSING,NO_GLOSSARY_MATCH,8,ONE_REVIEWER_REQUIRED,57f6f2e00e11981a50c3b17d3946c4468bcee176139957a4b10155cb871103aa
d2lce_0e100796a86968fbdb5730e8,d2lce_0e100796a86968fbdb5730e8,bus,test,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,4,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,26568a5b7f35862ceeba2459a1a9ff32b75fa3026b2d29206c82a58b9d0ef93b
d2lce_10d4d01fa40b67d92527e5ed,d2lce_10d4d01fa40b67d92527e5ed,eigendecomposition,development,R3_AMBIGUOUS,V3_STRATUM_COLLISION_OR_MULTI_TARGET,8,TWO_INDEPENDENT_REVIEWERS_THEN_ADJUDICATE_DISAGREEMENT,39c7e1bf3d503e1923a8fed25867cf40801419bcc57367ab1eb390f46c569294
