term_id,sense_id,source_term,selection_stratum,blind_split_majority,split_majority_matches_anchor,blind_pos_consensus,pos_consensus_matches_anchor,definition_comparison_status,anchoring_assessment_status,adjudication_reason_codes,source_record_sha256
d2lce_2684090fd4500122fec2a334,d2lce_2684090fd4500122fec2a334,in place,DISAGREEMENT,SPLIT,True,,,STAGE_A_ADJUDICATION_REQUIRED,INCONCLUSIVE_PENDING_PROVENANCE_AND_SEMANTIC_ADJUDICATION,CHILD_SENSE_AND_POS_RESOLUTION_REQUIRED,af6cb4782d03fc9d8a7c2b2d9fea11276313aee591cd77135e2d153b217823e6
d2lce_c4e87e5ee47d3e26ba618290,d2lce_c4e87e5ee47d3e26ba618290,convolutional neural networks,DETERMINISTIC_RANDOM_UNANIMOUS,NO_SPLIT,True,noun phrase,True,SEMANTIC_EQUIVALENCE_NOT_AUTO_ASSERTED,INCONCLUSIVE_PENDING_PROVENANCE_AND_SEMANTIC_ADJUDICATION,,a50c4952eb17771f994e0c3534079f71daa7311c387559df2eaf86556dcdf3bb
d2lce_53c32398310471fac3dacf35,d2lce_53c32398310471fac3dacf35,bit,AMBIGUITY_PROXY_LOW_CONFIDENCE,NO_SPLIT,True,noun,True,SEMANTIC_EQUIVALENCE_NOT_AUTO_ASSERTED,INCONCLUSIVE_PENDING_PROVENANCE_AND_SEMANTIC_ADJUDICATION,,245d4e624672225259b3043b52204567616a0835a906500717563793e0c454ba
d2lce_c6c1c6e96c39b88a9f94e8d9,d2lce_c6c1c6e96c39b88a9f94e8d9,input gate,DETERMINISTIC_RANDOM_UNANIMOUS,NO_SPLIT,True,noun phrase,True,SEMANTIC_EQUIVALENCE_NOT_AUTO_ASSERTED,INCONCLUSIVE_PENDING_PROVENANCE_AND_SEMANTIC_ADJUDICATION,,9e127834730531935120e2873c9d3c0524c95ebb43f360284d01e29a34c314c0
d2lce_98b37a7bcb47cd2ef2e5f296,d2lce_98b37a7bcb47cd2ef2e5f296,fully-connected layers,DISAGREEMENT,NO_SPLIT,True,noun phrase,True,STAGE_A_ADJUDICATION_REQUIRED,INCONCLUSIVE_PENDING_PROVENANCE_AND_SEMANTIC_ADJUDICATION,DEFINITION_DETAIL_REQUIRES_EVIDENCE_ADJUDICATION,b73e3e19a0f7704db7d39d336452c91de7a83c97e90370fe6b9c42f89e200a80
d2lce_270e1a75bb70807d9c2dd507,d2lce_270e1a75bb70807d9c2dd507,channels,AMBIGUITY_PROXY_LOW_CONFIDENCE,NO_SPLIT,True,noun,True,SEMANTIC_EQUIVALENCE_NOT_AUTO_ASSERTED,INCONCLUSIVE_PENDING_PROVENANCE_AND_SEMANTIC_ADJUDICATION,,bc05b44cbb0a6d49b9d2316a49203bde78f53318ebb7b250ec9a30c383acd1a1
d2lce_52085fef12f840d2350b2049,d2lce_52085fef12f840d2350b2049,Caser,DETERMINISTIC_RANDOM_UNANIMOUS,NO_SPLIT,True,proper noun,True,SEMANTIC_EQUIVALENCE_NOT_AUTO_ASSERTED,INCONCLUSIVE_PENDING_PROVENANCE_AND_SEMANTIC_ADJUDICATION,,31eca7f353f1792517477777f93a1d089910f7b448260bc0b8c1066dc8fba41c
d2lce_4abd762bcd34d370b4fe6498,d2lce_4abd762bcd34d370b4fe6498,BatchNorm,DETERMINISTIC_RANDOM_UNANIMOUS,NO_SPLIT,True,proper noun,True,SEMANTIC_EQUIVALENCE_NOT_AUTO_ASSERTED,INCONCLUSIVE_PENDING_PROVENANCE_AND_SEMANTIC_ADJUDICATION,,70f1076c30b3446478d92d3e5833c37d634a0a35965079ea1fb38d17ee5dcc0e
d2lce_ebd36388b50538b928ebbb4a,d2lce_ebd36388b50538b928ebbb4a,CUDA,AMBIGUITY_PROXY_LOW_CONFIDENCE,NO_SPLIT,True,proper noun,True,SEMANTIC_EQUIVALENCE_NOT_AUTO_ASSERTED,INCONCLUSIVE_PENDING_PROVENANCE_AND_SEMANTIC_ADJUDICATION,,702ddaf909ff24a1bc0246cef5a748738b12e363bd0ab959ff9c797baa4dc3be
d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,Adam,DISAGREEMENT,NO_SPLIT,True,proper noun,True,SEMANTIC_EQUIVALENCE_NOT_AUTO_ASSERTED,INCONCLUSIVE_PENDING_PROVENANCE_AND_SEMANTIC_ADJUDICATION,,e05ea60b3ff1939bbb1e577e80343d41460c93116257c1fb1179156e42f04840
