term_id,sense_id,source_term,split,selection_group,risk_class,review_requirement,review_status,blind_audit_required,reviewer_1_id,reviewer_1_type,reviewer_1_role,reviewer_1_status,reviewer_1_definition_decision,reviewer_1_pos_decision,reviewer_1_scope_decision,reviewer_1_reason_codes,reviewer_1_confidence,reviewer_1_artifact_sha256,reviewer_2_id,reviewer_2_type,reviewer_2_role,reviewer_2_status,reviewer_2_definition_decision,reviewer_2_pos_decision,reviewer_2_scope_decision,reviewer_2_reason_codes,reviewer_2_confidence,reviewer_2_artifact_sha256,adjudicator_id,adjudicator_type,adjudicator_status,adjudication_decision,adjudication_reason,adjudication_artifact_sha256,completed_at
d2lce_8d226b48ba7ec1493faa4ec8,d2lce_8d226b48ba7ec1493faa4ec8,Gradient Clipping,development,CLEAR_LOW_RISK,R0_CLEAR,SOURCE_GROUND_PLUS_BLIND_AUDIT,PENDING_HUMAN_REVIEW,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_addfcc9899bef06c500b6b0e,d2lce_addfcc9899bef06c500b6b0e,momentum,development,CLEAR_LOW_RISK,R0_CLEAR,SOURCE_GROUND_PLUS_BLIND_AUDIT,PENDING_HUMAN_REVIEW,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_11e1c294000ac67785408dcd,d2lce_11e1c294000ac67785408dcd,null hypothesis,development,CLEAR_LOW_RISK,R0_CLEAR,SOURCE_GROUND_PLUS_BLIND_AUDIT,PENDING_HUMAN_REVIEW,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_9bd5113780f8e8160a24e6ad,d2lce_9bd5113780f8e8160a24e6ad,underflow,development,CLEAR_LOW_RISK,R1_QUALIFIED,AT_LEAST_ONE_HUMAN_REVIEWER,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_c6b4477a845e2e0e0e02f088,d2lce_c6b4477a845e2e0e0e02f088,output gate,development,CLEAR_LOW_RISK,R2_MISSING,AT_LEAST_ONE_HUMAN_REVIEWER,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,Adam,development,AMBIGUOUS_POLYSEMOUS,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_1a91fdded89249a5cd89ec14,d2lce_1a91fdded89249a5cd89ec14,Jupyter notebook,development,AMBIGUOUS_POLYSEMOUS,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_cc4cb853eff638abcbdf7691,d2lce_cc4cb853eff638abcbdf7691,learning rate,development,AMBIGUOUS_POLYSEMOUS,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_d7976d0b101e65c34c011871,d2lce_d7976d0b101e65c34c011871,vanishing gradients,development,AMBIGUOUS_POLYSEMOUS,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_ce222dd206341f61f2986f7a,d2lce_ce222dd206341f61f2986f7a,word embedding,development,AMBIGUOUS_POLYSEMOUS,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_2684090fd4500122fec2a334,d2lce_2684090fd4500122fec2a334,in place,development,GATE_ADJUDICATION_RISK,R4_SPLIT_OR_POS_RISK,TWO_DISTINCT_REVIEWERS_PLUS_MANDATORY_ADJUDICATION,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_382e4bbab285d56a08249753,d2lce_382e4bbab285d56a08249753,contexts,development,GATE_ADJUDICATION_RISK,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_98b37a7bcb47cd2ef2e5f296,d2lce_98b37a7bcb47cd2ef2e5f296,fully-connected layers,development,GATE_ADJUDICATION_RISK,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_18c3da2d5bdd6d05a83982fa,d2lce_18c3da2d5bdd6d05a83982fa,attention scoring function,development,GATE_ADJUDICATION_RISK,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2lce_2b76c0f26436945cdf880aed,d2lce_2b76c0f26436945cdf880aed,statistical power,development,GATE_ADJUDICATION_RISK,R3_AMBIGUOUS,TWO_DISTINCT_BLIND_HUMAN_REVIEWERS,PENDING_HUMAN_REVIEW,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
