blind_case_id,sense_id,source_term,consensus_split_decision,consensus_part_of_speech,consensus_definition_en,review_status,adjudication_status
blindft_9e27d2d7a6fc81b2,d2lce_11e1c294000ac67785408dcd,null hypothesis,,,,,
blindft_e55558ba053b3526,d2lce_8d226b48ba7ec1493faa4ec8,Gradient Clipping,,,,,
blindft_52d4fb8b35a90521,d2lce_addfcc9899bef06c500b6b0e,momentum,,,,,
blindft_b8583deb3404d153,d2lce_fa115d4c3a8140d91339df15,Reduction,,,,,
blindft_3d2b1c1bfb00a8f4,d2lce_e246c0d41c7b8bc2c145f69a,linearly independent,,,,,
blindft_dcc20fe6bbd8e52f,d2lce_382e4bbab285d56a08249753,contexts,,,,,
blindft_ae8631126e178b77,d2lce_98b37a7bcb47cd2ef2e5f296,fully-connected layers,,,,,
blindft_df63175fefa57711,d2lce_2684090fd4500122fec2a334,in place,,,,,
blindft_cf4fc9b805c2b2b9,d2lce_7ef8ed3f93210606a27312a4,Adam,,,,,
blindft_76aa14722a135aff,d2lce_cc4cb853eff638abcbdf7691,learning rate,,,,,
blindft_997c1dba9f00a95d,d2lce_9cee0f2f668259a2568b89f4,Skip-Gram Model,,,,,
blindft_52cd6de047bde3a1,d2lce_d7976d0b101e65c34c011871,vanishing gradients,,,,,
blindft_16678d65f6f42f33,d2lce_ad0d7cbd5f90ad33075e89aa,R-CNN,,,,,
