blind_case_id,selection_stratum,term_id,sense_id,source_term,split,risk_class,v3_stratum,active_real_positive_context_count,review_status,record_sha256
blindft_9e27d2d7a6fc81b2,ALL_AVAILABLE_DEVELOPMENT_R0,d2lce_11e1c294000ac67785408dcd,d2lce_11e1c294000ac67785408dcd,null hypothesis,development,R0_CLEAR,clear,8,PENDING_BLIND_REVIEW,6d7e7ecf21a5c93cb825efe54144a7ef42dcd0cc2881e6efa6b35d579b84cc49
blindft_e55558ba053b3526,ALL_AVAILABLE_DEVELOPMENT_R0,d2lce_8d226b48ba7ec1493faa4ec8,d2lce_8d226b48ba7ec1493faa4ec8,Gradient Clipping,development,R0_CLEAR,clear,7,PENDING_BLIND_REVIEW,0e11409d94bebfb4d5d7362fbd6e715df60aa98b200a3c4d5b6835993e5761f9
blindft_52d4fb8b35a90521,ALL_AVAILABLE_DEVELOPMENT_R0,d2lce_addfcc9899bef06c500b6b0e,d2lce_addfcc9899bef06c500b6b0e,momentum,development,R0_CLEAR,clear,8,PENDING_BLIND_REVIEW,f9d759569f13809cf819299780489142547208e935866049bdb9c3a1fdf603c9
blindft_b8583deb3404d153,DETERMINISTIC_CLEAR_CONTROL,d2lce_fa115d4c3a8140d91339df15,d2lce_fa115d4c3a8140d91339df15,Reduction,development,R2_MISSING,clear,7,PENDING_BLIND_REVIEW,e9ab075fe4a82dcd3ce4396d27407337ed1964153f9a62444183246986ed86d5
blindft_3d2b1c1bfb00a8f4,DETERMINISTIC_CLEAR_CONTROL,d2lce_e246c0d41c7b8bc2c145f69a,d2lce_e246c0d41c7b8bc2c145f69a,linearly independent,development,R2_MISSING,clear,7,PENDING_BLIND_REVIEW,c0911d35e8808297901d23e096fcbb4b7eece90fce081179933d43dbc229cd82
blindft_dcc20fe6bbd8e52f,REGISTERED_DISAGREEMENT,d2lce_382e4bbab285d56a08249753,d2lce_382e4bbab285d56a08249753,contexts,development,R3_AMBIGUOUS,collision_or_multi_target,8,PENDING_BLIND_REVIEW,c068442069a37f86da45dceb4a8a6c0711f45e58efdc0aa4ed29043c6abb0a91
blindft_ae8631126e178b77,REGISTERED_DISAGREEMENT,d2lce_98b37a7bcb47cd2ef2e5f296,d2lce_98b37a7bcb47cd2ef2e5f296,fully-connected layers,development,R3_AMBIGUOUS,ambiguous,7,PENDING_BLIND_REVIEW,f1404729bee7e262b1b03502034b3d7f720c2171e9b90e45073979e589c5df34
blindft_df63175fefa57711,REGISTERED_DISAGREEMENT,d2lce_2684090fd4500122fec2a334,d2lce_2684090fd4500122fec2a334,in place,development,R4_SPLIT_OR_POS_RISK,ambiguous,8,PENDING_BLIND_REVIEW,ec407b37d64cb96578632796c195de537b188dad325d6a674c59a14825c6574e
blindft_cf4fc9b805c2b2b9,AMBIGUOUS_POLYSEMOUS,d2lce_7ef8ed3f93210606a27312a4,d2lce_7ef8ed3f93210606a27312a4,Adam,development,R3_AMBIGUOUS,ambiguous,6,PENDING_BLIND_REVIEW,c619e977b734c995436546ca588bef2642f87c3ec363382a562c59f5e9280bb7
blindft_76aa14722a135aff,AMBIGUOUS_POLYSEMOUS,d2lce_cc4cb853eff638abcbdf7691,d2lce_cc4cb853eff638abcbdf7691,learning rate,development,R3_AMBIGUOUS,ambiguous,7,PENDING_BLIND_REVIEW,e62644638d07c77a729f1047378abf44396bdae006b942a78f6d76a138ef4242
blindft_997c1dba9f00a95d,AMBIGUOUS_POLYSEMOUS,d2lce_9cee0f2f668259a2568b89f4,d2lce_9cee0f2f668259a2568b89f4,Skip-Gram Model,development,R3_AMBIGUOUS,ambiguous,8,PENDING_BLIND_REVIEW,08a6944ed99fb93bc4fcf72afd7eeda6d45586245d185b4c3a560b614d5c10dc
blindft_52cd6de047bde3a1,AMBIGUOUS_POLYSEMOUS,d2lce_d7976d0b101e65c34c011871,d2lce_d7976d0b101e65c34c011871,vanishing gradients,development,R3_AMBIGUOUS,ambiguous,7,PENDING_BLIND_REVIEW,b0f73273fb58b3899b832594b0e3b2a70794414caf13846f73b6623a2d29d4c9
blindft_16678d65f6f42f33,AMBIGUOUS_POLYSEMOUS,d2lce_ad0d7cbd5f90ad33075e89aa,d2lce_ad0d7cbd5f90ad33075e89aa,R-CNN,development,R3_AMBIGUOUS,collision_or_multi_target,8,PENDING_BLIND_REVIEW,12e8cba2348d79bf992a0b3c66eb5225934842291fa8ca9df48b6c6e92e35dbe
